i_32_a,sign,i_32_b,o_32_s,o_expected,Delta,%saiso,,,,,,,,,
-16478886,0,85309.7344,-16393577,-16393576.2656,-0.734400000423193,0.00000447980348232036%,,,,,,,,,
85309.7344,0,-16478886,-16393577,-16393576.2656,-0.734400000423193,0.00000447980348232036%,,,,,,,,,
-16478886,1,85309.7344,-16564195,-16564195.7344,0.734400000423193,-0.00000443365927449175%,,,,,,,,,
85309.7344,1,-16478886,16564195,16564195.7344,-0.734400000423193,-0.00000443365927449175%,,,,,,,,,
5089602.5,0,3433.5134,5093036,5093036.0134,-0.013399999588728,-0.00000026310435570202%,,,,,,,,,
3433.5134,0,5089602.5,5093036,5093036.0134,-0.013399999588728,-0.00000026310435570202%,,,,,,,,,
5089602.5,1,3433.5134,5086169,5086168.9866,0.013399999588728,0.00000026345958272388%,,,,,,,,,
3433.5134,1,5089602.5,-5086169,-5086168.9866,-0.013399999588728,0.00000026345958272388%,,,,,,,,,
-4435543.5,0,25990.3125,-4409553.5,-4409553.1875,-0.3125,0.00000708688582974485%,,,,,,,,,
25990.3125,0,-4435543.5,-4409553.5,-4409553.1875,-0.3125,0.00000708688582974485%,,,,,,,,,
-4435543.5,1,25990.3125,-4461533.5,-4461533.8125,0.3125,-0.00000700431764350772%,,,,,,,,,
25990.3125,1,-4435543.5,4461533.5,4461533.8125,-0.3125,-0.00000700431764350772%,,,,,,,,,
5682554,0,9334.9365,5691889,5691888.9365,0.0635000001639128,0.00000111562261443140%,,,,,,,,,
9334.9365,0,5682554,5691889,5691888.9365,0.0635000001639128,0.00000111562261443140%,,,,,,,,,
5682554,1,9334.9365,5673219,5673219.0635,-0.0635000001639128,-0.00000111929399258448%,,,,,,,,,
9334.9365,1,5682554,-5673219,-5673219.0635,0.0635000001639128,-0.00000111929399258448%,,,,,,,,,
-4436399.5,0,52004.332,-4384395.5,-4384395.168,-0.332000000402331,0.00000757231015181913%,,,,,,,,,
52004.332,0,-4436399.5,-4384395.5,-4384395.168,-0.332000000402331,0.00000757231015181913%,,,,,,,,,
-4436399.5,1,52004.332,-4488403.5,-4488403.832,0.332000000402331,-0.00000739683889482811%,,,,,,,,,
52004.332,1,-4436399.5,4488403.5,4488403.832,-0.332000000402331,-0.00000739683889482811%,,,,,,,,,
-5219386,0,92202.625,-5127183.5,-5127183.375,-0.125,0.00000243798574885182%,,,,,,,,,
92202.625,0,-5219386,-5127183.5,-5127183.375,-0.125,0.00000243798574885182%,,,,,,,,,
-5219386,1,92202.625,-5311588.5,-5311588.625,0.125,-0.00000235334489970974%,,,,,,,,,
92202.625,1,-5219386,5311588.5,5311588.625,-0.125,-0.00000235334489970974%,,,,,,,,,
-3883412,0,25592.6133,-3857819.25,-3857819.3867,0.136700000148267,-0.00000354345256855585%,,,,,,,,,
25592.6133,0,-3883412,-3857819.25,-3857819.3867,0.136700000148267,-0.00000354345256855585%,,,,,,,,,
-3883412,1,25592.6133,-3909004.75,-3909004.6133,-0.136700000148267,0.00000349705394777889%,,,,,,,,,
25592.6133,1,-3883412,3909004.75,3909004.6133,0.136700000148267,0.00000349705394777889%,,,,,,,,,
-11134365,0,37425.8594,-11096939,-11096939.1406,0.140599999576807,-0.00000126701604645554%,,,,,,,,,
37425.8594,0,-11134365,-11096939,-11096939.1406,0.140599999576807,-0.00000126701604645554%,,,,,,,,,
-11134365,1,37425.8594,-11171791,-11171790.8594,-0.140599999576807,0.00000125852695728282%,,,,,,,,,
37425.8594,1,-11134365,11171791,11171790.8594,0.140599999576807,0.00000125852695728282%,,,,,,,,,
-13238243,0,23298.1191,-13214945,-13214944.8809,-0.119100000709295,0.00000090125234560331%,,,,,,,,,
23298.1191,0,-13238243,-13214945,-13214944.8809,-0.119100000709295,0.00000090125234560331%,,,,,,,,,
-13238243,1,23298.1191,-13261541,-13261541.1191,0.119100000709295,-0.00000089808567224333%,,,,,,,,,
23298.1191,1,-13238243,13261541,13261541.1191,-0.119100000709295,-0.00000089808567224333%,,,,,,,,,
6947544.5,0,40213.3516,6987757.5,6987757.8516,-0.351599999703467,-0.00000503165689439225%,,,,,,,,,
40213.3516,0,6947544.5,6987757.5,6987757.8516,-0.351599999703467,-0.00000503165689439225%,,,,,,,,,
6947544.5,1,40213.3516,6907331.5,6907331.1484,0.351599999703467,0.00000509024386046572%,,,,,,,,,
40213.3516,1,6947544.5,-6907331.5,-6907331.1484,-0.351599999703467,0.00000509024386046572%,,,,,,,,,
-12711587,0,3622.6604,-12707965,-12707964.3396,-0.660399999469519,0.00000519674105011146%,,,,,,,,,
3622.6604,0,-12711587,-12707965,-12707964.3396,-0.660399999469519,0.00000519674105011146%,,,,,,,,,
